foreman | __foreman_local_draft__ | retry_scheduled | attempt=1 | retry=1 | status=retry_scheduled | error=network_unreachable | nextRetryAt=1774716083821
foreman | REQ-1 | inflight_restored | attempt=1 | retry=0 | status=queued | error=none | nextRetryAt=0
foreman | REQ-RETRY | retry_scheduled | attempt=1 | retry=1 | status=retry_scheduled | error=network_unreachable | nextRetryAt=1774716083824
foreman | REQ-RETRY | retry_scheduled | attempt=2 | retry=2 | status=retry_scheduled | error=network_unreachable | nextRetryAt=1774716088825
contractor | 11111111-1111-4111-8111-000000000002 | retry_scheduled | attempt=1 | retry=1 | status=retry_scheduled | error=network_unreachable | nextRetryAt=1774716083829
contractor | 11111111-1111-4111-8111-000000000003 | inflight_restored | attempt=1 | retry=0 | status=queued | error=none | nextRetryAt=0
contractor | 11111111-1111-4111-8111-000000000004 | retry_scheduled | attempt=1 | retry=1 | status=retry_scheduled | error=transient_server | nextRetryAt=1774716083832
contractor | 11111111-1111-4111-8111-000000000008 | retry_scheduled | attempt=1 | retry=1 | status=retry_scheduled | error=transient_server | nextRetryAt=1774716083837
contractor | 11111111-1111-4111-8111-000000000008 | retry_scheduled | attempt=2 | retry=2 | status=retry_scheduled | error=transient_server | nextRetryAt=1774716088837
contractor | 11111111-1111-4111-8111-000000000008 | retry_scheduled | attempt=3 | retry=3 | status=retry_scheduled | error=transient_server | nextRetryAt=1774716098838
contractor | 11111111-1111-4111-8111-000000000008 | retry_scheduled | attempt=4 | retry=4 | status=retry_scheduled | error=transient_server | nextRetryAt=1774716118838
contractor | 11111111-1111-4111-8111-000000000008 | retry_exhausted | attempt=5 | retry=4 | status=failed_non_retryable | error=transient_server | nextRetryAt=null
foreman | REQ-RETRY-NOW | retry_scheduled | attempt=1 | retry=1 | status=retry_scheduled | error=network_unreachable | nextRetryAt=1774716083848
foreman | REQ-EXHAUSTED | retry_scheduled | attempt=1 | retry=1 | status=retry_scheduled | error=network_unreachable | nextRetryAt=1774716083850
foreman | REQ-EXHAUSTED | retry_scheduled | attempt=2 | retry=2 | status=retry_scheduled | error=network_unreachable | nextRetryAt=1774716088850
foreman | REQ-EXHAUSTED | retry_scheduled | attempt=3 | retry=3 | status=retry_scheduled | error=network_unreachable | nextRetryAt=1774716098851
foreman | REQ-EXHAUSTED | retry_scheduled | attempt=4 | retry=4 | status=retry_scheduled | error=network_unreachable | nextRetryAt=1774716118852
foreman | REQ-EXHAUSTED | retry_exhausted | attempt=5 | retry=4 | status=failed_non_retryable | error=network_unreachable | nextRetryAt=null
