group_id,work_type_count,work_type_codes,basis_key_count,basis_keys,group_status
G-001,52,finish_paint | ind_floor_epoxy | res_finish_paint | WT-CEIL-ARMSTRONG-600 | WT-CEIL-CLIPIN-300x1200 | WT-CEIL-CLIPIN-600 | WT-CEIL-GKL-1L | WT-CEIL-GKL-2L | WT-CEIL-GKL-BOX | WT-DEM-CEIL | WT-DEM-FLOOR | WT-DEM-GKL | WT-DEM-INSUL | WT-DEM-PLASTER | WT-DEM-ROOF | WT-DEM-SCREED | WT-DEM-TILE-FLOOR | WT-DEM-TILE-WALL | WT-DEM-WALL | WT-DEMO | WT-EXT-ASPHALT | WT-EXT-OTMOSTKA | WT-EXT-PAVING | WT-FLR-HEAT-ELEC | WT-FLR-TOPPING | WT-GKL | WT-GKL-CEIL-PRO | WT-HYDRO-FOUND-PRO | WT-INSUL-CEIL-INT | WT-INSUL-CEIL-PRO | WT-INSUL-WALL-PRO | WT-PAINT | WT-PAINT-INT | WT-PLASTER-FACADE | WT-RF-CARPET | WT-RF-HPL | WT-RF-PORCELAIN | WT-RF-PVC | WT-ROOF-FRAME | WT-ROOF-FRAME-MTL | WT-ROOF-MTL | WT-ROOF-ROLLED | WT-ROOF-SANDWICH | WT-ROOF-SHINGLE | WT-ROOF-SLATE | WT-STEEL-CANOPY-GABLE | WT-STEEL-CANOPY-HIP | WT-STEEL-CANOPY-LEAN | WT-SUBBASE-PRO | WT-TILE | WT-WALLPAPER | WT-WP,1,area_m2,SHARED_TEMPLATE
G-012,20,WT-FACADE-ACP | WT-FACADE-CASSETTE-INSTALL | WT-FACADE-CLINKER-VF | WT-FACADE-FC-H | WT-FACADE-FC-H-10 | WT-FACADE-FC-H-12 | WT-FACADE-FC-H-8 | WT-FACADE-FC-RIVET | WT-FACADE-FC-RIVET-10 | WT-FACADE-FC-RIVET-12 | WT-FACADE-FC-RIVET-8 | WT-FACADE-FCB | WT-FACADE-HPL | WT-FACADE-HPL-INSTALL | WT-FACADE-HPL-LSTK | WT-FACADE-PORC | WT-FACADE-PORCELAIN-VENT | WT-FACADE-STONE | WT-FACADE-WET | WT-FACADE-WET-SYSTEM,6,area_m2 | area_wall_m2 | height_m | length_m | perimeter_m | pipe_length_m,SHARED_TEMPLATE
G-017,18,WT-CEIL-CLIPIN | WT-CEIL-GRID | WT-CEIL-GRILIATO-050 | WT-CEIL-GRILIATO-075 | WT-CEIL-GRILIATO-100 | WT-CEIL-GRILIATO-PYR-050 | WT-CEIL-GRILIATO-PYR-075 | WT-CEIL-GRILIATO-PYR-100 | WT-CEIL-RACK | WT-CEIL-RACK-LENS | WT-GKL-WALL | WT-GKL-WALL-PRO | WT-PLASTER | WT-PLASTER-INT | WT-PLASTER-WALL-PRO | WT-ROOF-FRAME-SHINGLE | WT-ROOF-FRAME-SLATE | WT-ROOF-METAL,2,area_m2 | perimeter_m,SHARED_TEMPLATE
G-020,12,WT-ELEC | WT-ELEC-CABLE | WT-EXT-CURB | WT-EXT-DRAIN-CHANNEL | WT-ROAD-MARKING | WT-ROAD-MEDIAN | WT-STEEL-CUT | WT-STEEL-FENCE-MESH | WT-STEEL-FENCE-PROF | WT-STEEL-RAILING | WT-STEEL-WELD-MIG-A4 | WT-STEEL-WELD-MMA,1,length_m,SHARED_TEMPLATE
G-002,9,WT-DELIVERY | WT-DEM-DOOR | WT-DEM-LIGHT | WT-DEM-OUTLET | WT-DEM-PLUMB-FIX | WT-DEM-RADIATOR | WT-DEM-WINDOW | WT-DOOR | WT-DOOR-SET,1,count,SHARED_TEMPLATE
G-022,6,WT-HYDRO | WT-LEVEL | WT-PUTTY | WT-WINDOW-AL | WT-WINDOW-PVC | WT-WINDOW-REVEAL,2,area_m2 | count,SHARED_TEMPLATE
G-040,5,WT-STEEL-GATE-SLIDE | WT-STEEL-GATE-SWING | WT-STEEL-STAIR | WT-STEEL-TRUSS-HEAVY | WT-STEEL-TRUSS-LIGHT,3,count | length_m | points,SHARED_TEMPLATE
G-036,4,WT-PLMB-SHOWER | WT-PLMB-SINK | WT-PLMB-TOILET | WT-PLMB-WM,1,points,SHARED_TEMPLATE
G-003,3,WT-CONCRETE-COLUMN | WT-CONCRETE-FOOTING | WT-CONCRETE-PILE,2,count | volume_m3,SHARED_TEMPLATE
G-008,3,WT-EARTHWORK-PRO | WT-FND-MKD | WT-WASTE,1,volume_m3,SHARED_TEMPLATE
