work_type_code,work_type_name_ru,family_code,family_name_ru,family_sort,is_active,ui_source
WT-DEMO,Демонтаж (общий),demo,Демонтаж,10,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-DEM-GKL,Демонтаж ГКЛ,demo,Демонтаж,10,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-DEM-DOOR,Демонтаж дверей,demo,Демонтаж,10,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-DEM-ROOF,Демонтаж кровли,demo,Демонтаж,10,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-DEM-FLOOR,Демонтаж напольных покрытий,demo,Демонтаж,10,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-DEM-WALL,Демонтаж обоев/стен,demo,Демонтаж,10,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-DEM-WINDOW,Демонтаж окон,demo,Демонтаж,10,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-DEM-TILE-FLOOR,Демонтаж плитки (пол),demo,Демонтаж,10,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-DEM-TILE-WALL,Демонтаж плитки (стены),demo,Демонтаж,10,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-DEM-CEIL,Демонтаж потолка,demo,Демонтаж,10,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-DEM-RADIATOR,Демонтаж радиаторов,demo,Демонтаж,10,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-DEM-OUTLET,Демонтаж розеток/выключателей,demo,Демонтаж,10,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-DEM-PLUMB-FIX,Демонтаж сантехприборов,demo,Демонтаж,10,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-DEM-LIGHT,Демонтаж светильников,demo,Демонтаж,10,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-DEM-SCREED,Демонтаж стяжки,demo,Демонтаж,10,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-DEM-INSUL,Демонтаж утеплителя,demo,Демонтаж,10,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-DEM-PLASTER,Демонтаж штукатурки,demo,Демонтаж,10,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-CONCRETE-PILE,Бетон: сваи/столбы (армирование),concrete,Бетон,20,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-CONCRETE-MONO,Бетонирование / монолит,concrete,Бетон,20,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-CONC-FLOOR,Бетонирование пола,concrete,Бетон,20,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
